game_id,competition_id,season,home_club_id,away_club_id,home_club_goals,away_club_goals,home_club_position,away_club_position
3395481,SC1,2020,465,370,1,1,9,4
3400465,SC1,2020,2759,2578,1,1,12,10
3400511,SC1,2020,1519,1241,3,0,7,5
3400515,SC1,2020,2578,371,1,2,8,2
3400538,SC1,2020,2759,371,1,0,10,2
3409245,RU1,2020,2698,28095,3,0,8,13
3412896,L1,2020,44,3,0,0,14,17
3412934,L1,2020,33,44,1,2,18,13
3412941,L1,2020,33,89,1,1,17,10
3412943,L1,2020,3,24,1,1,16,4
3412984,L1,2020,24,82,4,3,4,3
3412992,L1,2020,23826,60,3,0,2,14
3413122,L1,2020,33,533,4,0,17,14
3413133,L1,2020,86,60,0,0,11,8
3413144,L1,2020,18,3,1,2,7,14
3413148,L1,2020,44,27,0,1,15,1
3413149,L1,2020,33,23826,0,3,18,2
3413151,L1,2020,167,82,0,2,13,3
3413175,L1,2020,44,86,1,4,14,13
3415251,BE1,2020,1245,2282,0,4,15,7
3415275,BE1,2020,1245,157,2,1,11,16
3415357,BE1,2020,354,41274,2,3,15,1
3415409,BE1,2020,157,1096,0,1,12,3
3415431,BE1,2020,29228,58,1,1,15,5
3415436,BE1,2020,1245,29228,1,1,16,15
3415481,BE1,2020,157,2282,0,4,12,1
3415504,BE1,2020,3508,29228,1,0,8,16
3415522,BE1,2020,3508,1245,2,1,7,13
3420450,UKR1,2020,10690,660,2,2,12,6
3420457,UKR1,2020,660,23611,2,0,3,8
3420601,UKR1,2020,49364,61825,1,1,10,11
3420914,UKR1,2020,10690,60551,3,1,6,13
3420988,UKR1,2020,49364,48726,0,0,12,13
3421699,GB1,2020,350,399,0,1,19,7
3421747,GB1,2020,29,985,1,3,8,10
3421829,GB1,2020,762,31,0,0,15,1
3426661,TR1,2020,3205,10484,1,0,10,14
3426675,TR1,2020,6890,141,0,2,21,1
3426679,TR1,2020,3205,39722,1,3,13,6
3426846,TR1,2020,6890,589,5,1,14,8
3426918,TR1,2020,19789,10484,2,0,8,10
3426922,TR1,2020,2381,820,3,1,14,18
3426924,TR1,2020,126,589,2,1,12,15
3426928,TR1,2020,10484,2832,0,4,10,5
3426940,TR1,2020,39722,2832,1,1,20,5
3426967,TR1,2020,6646,2293,2,1,9,12
3426973,TR1,2020,2832,3205,2,1,3,19
3427037,TR1,2020,589,19789,1,1,9,10
3427055,TR1,2020,449,36,0,1,4,3
3427066,TR1,2020,36,589,1,1,3,10
3427080,TR1,2020,39722,449,0,0,19,4
3427087,TR1,2020,36,820,1,2,3,21
3427149,TR1,2020,10484,6890,0,1,16,17
3427190,TR1,2020,11282,39722,2,3,7,18
3427203,TR1,2020,126,6890,0,2,13,12
3429705,GB1,2020,931,1003,0,2,18,3
3429716,GB1,2020,399,873,2,0,10,13
3429785,GB1,2020,631,984,2,5,5,19
3429808,GB1,2020,1003,984,3,0,3,19
3429859,GB1,2020,762,350,1,0,15,20
3431923,ES1,2020,1050,1533,2,1,6,14
3431932,ES1,2020,366,940,1,1,16,8
2609378,PO1,2015,1085,1465,1,0,8,6
2609414,PO1,2015,982,1301,3,1,8,9
2609463,PO1,2015,2503,720,0,5,17,2
2613591,PO1,2015,2420,336,0,0,7,1
2613688,PO1,2015,2425,720,1,3,8,3
2626584,BE1,2015,157,3057,4,1,5,15
2626586,BE1,2015,2282,28643,5,1,7,8
2627932,UKRP,2015,2740,6992,0,0,,
2627952,UKR1,2015,6994,6992,0,3,14,11
2631262,GR1,2015,28956,1091,1,3,14,6
2635697,RU1,2015,964,11126,0,0,4,15
2645542,SC1,2015,370,2760,0,0,2,6
2653901,BE1,2015,157,28643,2,1,1,13
2653916,BE1,2015,968,3057,2,0,14,8
2658064,GR1,2015,21957,1091,0,0,9,4
2668506,BE1,2015,354,3057,4,0,10,7
2668510,BE1,2015,968,28643,1,0,15,12
2697592,DK1,2016,865,2414,5,2,3,8
2697604,DK1,2016,678,2414,1,1,10,7
2697619,DK1,2016,5724,2778,2,1,4,9
2697645,DK1,2016,190,1063,4,0,1,14
2698277,GB1,2016,281,1132,2,1,4,12
2700670,NL1,2016,1269,200,1,1,18,15
2704307,L1,2016,82,15,1,2,16,10
2705367,BE1,2016,1184,28643,2,2,8,14
2718742,ES1,2016,1533,368,1,1,7,5
2718761,ES1,2016,1533,681,2,0,8,11
2718844,ES1,2016,131,418,1,1,2,1
2718963,ES1,2016,1108,368,1,1,11,3
2718982,ES1,2016,1108,681,1,0,10,6
2720840,PO1,2016,68608,720,0,0,12,4
2720858,PO1,2016,68608,1301,1,0,8,9
2720915,PO1,2016,7179,3325,2,0,18,8
2720933,PO1,2016,2425,1301,0,0,9,6
2720947,PO1,2016,1085,1075,1,1,8,4
2720953,PO1,2016,2503,720,0,1,9,2
2720986,PO1,2016,8024,336,1,2,14,3
2721004,PO1,2016,68608,1465,1,3,12,15
2721052,PO1,2016,2995,1301,0,0,13,6
2722670,TR1,2016,820,114,1,1,7,2
2725483,IT1,2016,430,862,1,0,10,8
2726787,IT1,2016,430,749,1,2,8,17
2728642,SC1,2016,371,2760,1,1,1,6
2731813,UKR1,2016,23611,2477,0,0,4,10
2754900,CL,2016,16,418,2,2,,
2763811,RU1,2016,2696,3729,1,1,16,13
2764531,GR1,2016,5219,1091,0,5,12,5
2805662,EL,2016,157,148,1,0,,
2810027,CDR,2016,1050,681,1,1,,
2842422,RU1,2016,11127,3691,1,0,10,16
2846712,UKR1,2016,8838,2477,3,2,9,10
